관리코드,상품명,규격
22-07,산타페헤이즐럿 (156),175ml*30
22-03,산타페 오리지날 캔 175 (156),175ml*30
60-28,사조반품,0
15-36,사조마을태양초참맛고추장14kg,14kg
15-37,사조마을콩재래된장14kg,14kg
81-08-02,뿌요소다(파인)245(6입),(245*6)
81-07,뿌요소다(파인)245,(245*24)
81-08,뿌요소다(오렌지)245(6입),(245*6)
81-06,뿌요소다(오렌지)245,(245*24)
22-14-01,뽀로로홍삼쏙쏙오렌지,(100*10)*4
22-14-03,뽀로로홍삼쏙쏙(포도블루베리),(100*10)*4
22-14-02,뽀로로홍삼쏙쏙(사과매실),(100*10)*4
22-16-02,뽀로로워터젤리(포도),120ml*40
22-16-03,뽀로로워터젤리(복숭아),120ml*40
22-14,뽀로로샘물 250,250ml*20
22-16-05,뽀로로과일맛젤리(3입),150(3입)*24
22-11-01,뽀로로[사과](117),235ml*24
22-13,뽀로로[블루베리] (117),235ml*24
22-12,뽀로로[보리차] (117),220ml*24
22-10-14,뽀로로[바나나](117),235ml*24
22-11,뽀로로[밀크](117),235ml*24
22-10,뽀로로[딸기] (117),235ml*24
43-60-01,빙그레 보이차500mI(105),500ml*20
08-52,비트4.5k (64),4.5kg*3
08-48.,비트3kg*4,3kg*4
08-48,비트3k  (2*3),2*3=6
08-47.,비트3.2,3.2*4
08-47,비트2.7(80),2.7k*4
08-49,비트(드럼)2.8,2.8*4
08-51,비트(드럼)2.5리필,2.5*4
27-27,비타파워병100/롯데칠성,100ml*100
22-18,비락진홍삼 140,140ml*40
22-01-01,비락식혜캔(유통용) 238(40),238ml*72
22-01,비락식혜캔 (40),238ml*72
22-05,비락식혜350(단종),350*12
22-01-05,비락식혜340뚱캔(24입),340ml*24
22-01-04,비락식혜238 (24입)/120,238ml*24
22-05.,비락식혜 500(120),500ml*12
22-04,비락식혜 1.8 (48),1.8L*8
22-02,비락수정과캔,238ml*72*(40)
22-02-01,비락수정과 1.8 (48),1.8*8
22-30,비락수정과,952*12
22-06,비락생칡즙 100ml,100ml*40
22-08,비락밥알없는식혜 175 (143),175ml*30
22-01-02,비락바나나 식혜캔 238ml,238*72
30-12-01.,블랙보리제로라이트 520ml,520ml*20
30-12-03,블랙보리라이트캔 175 (144),175ml*30
30-12-01,블랙보리 520ml (72),520ml*20
30-12,블랙보리 340ml(104),340ml*20
30-12-02,블랙보리 1.5L (52),1.5L*12
77-01,부가세 10%,
29-29-02,보보레레 물티슈캡형(100매*20) (72),100매*20
29-29-01,보보레레 물티슈캡형 (100*30)(48),100*30
29-29-03,보보레레 물티슈 (100*10),110*10
81-14,베트남 스리라차칠리핫소스755g,755g*1EA
81-13,베트남 스리라차칠리핫소스510g,510g*1EA
15-46.,백설흰설탕5kg,5kg*4
15-42-02,백설하얀설탕3kg (64),3kg*6
15-40,백설하얀설탕1kg(88),1kg*16
15-44,백설하얀설탕15kg(84),15kg
08-25,백설프리미엄N호*5셋트,카놀+요리유+해바라기
08-25..,백설프리미엄14호-(set),1set
08-20-01,백설포도씨유500ml(108)- 24년 5/1일까지,500ml*12
08-26,백설포도씨유3호,500g*3*5
08-32,백설 포도씨유 900ml (70),900ml*12
45-19,백설특선2호,스팸소4카놀2참기름80*1천일염대1소2
45-12-04,CJ특별한선택골드라벨/3세트(20),(스팸클*12+카놀*2+요리올*1+프락토*1)*3
08-28,백설콩식용유1.8(40),1.8L*10
08-31.,백설콩식용유 900,900ml*20
08-42,"백설콩기름1,8 L(40)","1,8 L*12"
08-20,백설카놀라유500g(108)- 24년 5/1까지,500ml*12
08-31,백설옥수수유900,900*20
08-35.,백설옥수수기름1.8,1.8L*12
08-41,백설옥배유18L,18L
08-35,백설옥배유(1.8),1.8L*12
08-29,백설식용유5호*5-(BOX),(1.8*2set)*5
08-27,백설식용유2호,1.8*3*3
08-30,백설식용유18L,18L
08-33,백설식용유1.8g+500g*6,1.8+500*6
45-18-02,CJ 스팸8K호/5세트(40),클래식6+마일드3
61-58-06,백설비비고육개장500g(78),(500g*18)
61-58-10,백설비비고 콩나물 황태국500g (78),500g*18
11-56-02,백설비비고 전복죽450g,(450*21)
11-56-03,백설비비고 소고기죽450g,(450*21)
61-58-08,백설비비고 소고기장터국밥500g (78),500g*18
61-58-07,백설비비고 소고기미역국500g (78),500g*18
61-58-09,백설비비고 소고기무국500g(78),500g*18
61-58-11,백설비비고 설렁탕500g (78),500g*18
61-58,백설비비고 사골곰탕500g(78),500g*18
11-56-04,백설비비고 버섯야채죽450g,(450*21)
61-58-12,백설비비고 두부김치찌개460g (78),460*12
15-48,백설다시다2k  (72),2kg*6
15-46,cj제일제당 갈색설탕5kg,5kg*4
15-43-03,백설갈색설탕3kg*6(브라운)(64),3kg*6
15-40-03,백설갈색설탕1kg*16(88),1kg*16
15-45,백설갈색설탕15kg(78),15kg
08-32-02,백설 카놀라유 900ml(70),900ml*12
36-82..,백설/포도씨유+카놀라유(900+900)*6,(900+900)*6
08-36,백설/참진한 참기름병 320ml (90),320ml*12
08-37-01,백설/참진한 참기름400ml (144),400*12
08-37,백설 고소함가득 참기름330ml*39캔,330m*39캔
08-38,백설/진한참기름1000m,1000m*6
15-13.,백설/요리당 2.45kg,2.45*6
15-20,백설/ 쇠고기 다시다1kg,1kg*10
15-19,백설/ 쇠고기 다시다500g,500g*20
15-82,백설/ 쇠고기 다시다300g (49),(300g*10)*4
15-19.,백설/다시다25kg,25kg
15-17,백설/다시다100,100*80
81-17,CJ제당 제일제면소면3kg,3kg*4
15-87-03,백설 프락토올리고당1.2 (80),(1.2kg*9)
15-87-04,백설 요리올리고당1.2 (80),(1.2kg*9)
81-20,백설 따끈한밥200g (40),200g*(8*6)
14-56,백산수500ml,500*20*(64)
14-57,백산수2L,2.0*6
03-06,백광향락스2L,2L*6
03-05,백광트래펑2L(60),2L*6
03-05.,백광트래펑1L(50),1L*12
60-20,반품(태동유통한달반품),0
200-01,반품,
02-30,반려동물 칫솔 (핑크.블루),칫솔*1개
28-31-01,박카스맛 젤리50g,(50g*40)
28-30,박카스 F 120ml * 100병,120ml*100
27-04,밀키스캔250 (110),250ml*30
27-04-01,밀키스340ml뚱캔(99),340ml*24
27-04-03,밀키스1.5 (50),1.5L*12
27-04-02,밀키스 500 (84),500ml*20
200,미지원금액,
06-08.,미장센[안티]에이징680,680ml*6
06-20.,미장센[스칼프]케어680,680ml*6
06-20,미장센[데미지]케어680,680ml*6
06-09,미장센(안티에이징),(500*3)*6
38-05,미인활액 75ml,75ml*120
01-07.,미원500g봉지,500g*80*4봉
01-07,미원500g(포),500*40
01-11.,미원2kg봉지,2k*10
01-11,미원2k,2k*10
36-23.,미원25kg(s),25kg
01-10.,미원100g봉지,100g*20
01-10,미원100g(포),100g*20*10
36-23,미원(노말)25kg,25kg
28-53-03,미에로1.2L(기획증정용),(1.2L*12)기획증정
28-51,미에로(병) 210 / 현대 (56),210ml*40
28-50,미에로(병) 100 / 현대 (40),100ml*100
28-52,미에로 350 / 현대 (77)(70),350ml*24
81-26,미에로 1.2L(마트킹전용),1.2*12
28-53,미에로 1.2L일반(48),1.2L*12
27-14-02,미린다파인500,500ml*20
27-40-01,미린다1.25(파인),15*12
27-40,미린다1.25(오렌지),1.5L*12
52-11,미드미락교3kg,3kg*6
31-18-01,미닛메이드 시그니처 포도 350,350ml*24
15-08-01,미닛메이드포도 1.5,1.5L*12
15-08-03,미닛메이드토마토1.5,1.5L*12
31-91-04,미닛메이드조이사과195팩,(195ml*32)
31-19-01,미닛메이드조이오렌지195팩,(195ml*32)
15-08,미닛메이드 시그니처오렌지1.5,1.5L*12
31-18,미닛메이드 시그니처 오렌지 350,350ml*24
15-08-02,미닛메이드알로에1.5,1.5L*12
31-18-02,미닛메이드 시그니처 알로에 350,350ml*24
31-19,미닛메이드알로에 175 (126),175ml*30
31-19-08,미닛메이드매실캔175 (126),175ml*30
15-08-04,미닛메이드망고1.5,1.5L*12
15-08-05,미닛메이드 제주감귤1.5,1.5L*12
31-19-02,미닛메이드조이망고195팩,(195ml*32)
01-56,미니바설탕(일반)5kg,(5g*100)*10
05-51.,무궁화하얀비누,(230g*4)*8
05-57,무궁화표백비누230g,(230g*4)*8
05-51,무궁화세탁비누,(230g*4)*8
14-53-02,몽베스트2L*6(96),2L*6
14-52-01,몽베스트 500ℓ*20(119),500ml*20
14-52-02,몽베스트 330ml*20(170),330ml*20
14-53-01,몽베스트 1ℓ*12입 (98),1L*12
52-46-02,몰티져스버튼32g,32g*36봉
31-03-06,몬스터파이프라인펀치(진한핑크),355ml*24
31-03-04,몬스터파라다이스(녹색)355,355ml*24
31-03-01,몬스터 에너지울트라(흰색)355(108),355ml*24
31-03-02,몬스터 에너지그린(검정초록) 355(108),355ml*24
31-03-03,몬스터 에너지울트라시트라(노랑)355,355ml*24
23-85-01,목우촌캔햄(뚝심200),200g*24
23-85,목우촌뚝심300,300*24
23-84,목우촌뚝심(캔햄1호)(98),340g*24
28-63,모닝케어레이디,100ml*50
28-62,모닝케어강황,100*50
28-61,모닝케어/동아 (100),100ml*50
28-61.,모닝케어(낱병),낱병
52-004,명진)표고버섯(슬),3kg*6
39-84-06,명성곰표국수3kg,(3kg*6)
28-70,멕소롱 골드액 75ml,75ml*100
36-08,메가부탄4*7 (64),4*7
28-61-05,맨스킨(콘돔)10입*24,(10p*10)*24
28-61-06,맨스킨(콘돔)10입,(10p*10)
29-01-03,맥콜캔 350 (100),350ml*24
29-20,맥콜캔 160 (업소용)(143),160ml*30
29-01-01,맥콜250캔(씩스팩),250(6*5)
29-02-02,맥콜1.5 6입(72),1.5*6
29-03,맥콜 500 (66),500ml*20
29-01,맥콜 250 (110),250ml*30
29-19,맥콜 190 업소용(132),190ml*30
29-02,맥콜 1.5 (40),1.5L*12
24-31,맥심화이트골드50t(연아),50*18
24-59,맥심화이트골드230T,230T*4
24-14,맥심화이트골드180T(연아),(180+20)*4
24-28-02,맥심티오피스위트아메리카노 380ml(96),380ml*20
24-28-03,맥심티오피 더블랙 380ml(96),380ml*20
24-28-01,맥심티오피 마스터라떼 380ml(96),380ml*20
24-12-05,맥심부드러운블랙100T/모카 (60),100T*8
24-12-06,맥심부드러운블랙100T(오리지날),100T*8
24-12-07,맥심부드러운블랙100T(아라비카),100T*8
24-11-03,맥심모카골드기획(50T+20T),(50+20)*12
24-12,맥심모카골드90T(50+20+20),50*8
24-11,맥심모카골드50T*18(30),50T*18
24-11-02,맥심모카골드50T (2+1기획)(50t*2+50t)*6볼,(50t*2+50t)*6볼
24-71,맥심모카골드240T,240*4
24-15-03,동서맥심모카골드230T*4(30),230T*4
24-15-05,동서맥심모카골드22호(230T)가방형(30),230T*4
24-15-02,맥심모카골드210T,210T*4
24-15-01,맥심모카골드20호/4세트( 200T)-(BOX),200T*4
24-10,맥심모카골드20T(56),20T * 24
24-12-01,맥심모카골드100T (30),100T*8
24-12-08,맥심모카골드(기획)120T,{40*(2+1)}*6 (28)
24-11-04,맥심모카골드 90T+10,90T*8
24-15-08,맥심모카골드 250T,250T*4
24-12-10,맥심모카골드 180+20(36),(180*20)*4
24-12-09,맥심모카골드 150+20(30),(150T+20)*6
24-071-06,맥스웰콜롬비아나 마스터스위트블랙 500,500ml*20
24-071-07,맥스웰콜롬비아나 마스터블랙500,500ml*20
24-071-05,맥스웰콜롬비아나 마스터라떼500,500ml*20
24-16.,맥스웰커피믹스230T,230T*4
24-16,맥스웰하우스 커피믹스100T,1.2*8
24-01-02,맥스웰캔커피200 식스팩,200*36
25-07-01,매일두유 초콜릿 190ml,190*24
25-07-02,매일허쉬드링크초콜릿 235 (팩),(235ml*6)*4 (24입)
20-16,매일파렛트,
25-01,매일카페라떼마일드컵 (126),220ml*10
25-01-01,매일카페라떼마일드로어슈거,220ml*10
25-17-02,매일/멸균초코우유200,200ml*24
25-17-04,★면세★ 매일멸균우유 1L,1L*10
25-04,매일까페라떼카푸치노컵 220 (180)-단종,220ml*10
25-02,매일카페라떼카라멜마끼아또컵 (126),220ml*10
25-14-03,매일/뼈칼호두&땅콩미드팩190(16*4),190ml(16*4)
25-14-06,매일/뼈칼슘호두&땅콩미드팩190(24*3),190ml(24*3)
25-142,매일/뼈칼슘두유 헬리캡(담백한)(95),950*10
25-14-04,매일/뼈칼두유담백미드팩190(24*3),190ml(24*3)
25-14-01,매일/뼈칼두유담백미드팩190(16*4),190ml(16*4)
25-14-05,매일/뼈로가는고칼슘검은콩미드팩 단상자 190(24*3),190ml(24*3)
25-14-02,매일/뼈칼검은콩진미드팩 190(16*4),190ml(16*4)
25-08-03,매일/바리스타-카라멜딥프레소,250ml*10
25-08-01,매일/바리스타-에스프레소라떼,250ml*10
25-08-04,매일/바리스타-스모키,250ml*10
25-08-02,매일/바리스타-모카프레소,250ml*10
25-08-05,매일/바리스타-로어슈거,250ml*10
25-17,★면세★매일/멸균소화가잘되는우유 190,190ml*24
27-98,망고페트400/롯데칠성,300*24
01-12,맛소금500g포,500*40
01-12.,맛소금500g봉지,1봉지
01-14.,맛소금250g봉지,1봉
01-14,맛소금250g,250g*80
01-13.,맛소금1kg봉지,1kg*4
01-13,맛소금1k,1k*(5*4)=20
01-15,맛소금100g(포),100g*(20개*10봉)
01-15.,맛소금100g(봉지),100*20
27-33..,마운틴듀400/롯데칠성,400*20
27-330,마운틴듀355ml뚱캔 (99),355ml*24
27-33.,마운틴듀1.5,1.5L*12
27-91-02,립톤아이스티복숭아뚱캔355/99,355ml*24
30-29.,립톤복숭아캔240/롯데칠성,240*30
27-91,립톤복숭아500/롯데칠성,500ml*20
28-22-01,리뉴얼 오라떼피치캔(복숭아),240*30
28-22-02,리뉴얼 오라떼오렌지캔,
28-22-04,리뉴얼 오라떼애플캔,240*30
55-04-04,르블렌 자몽히비스커스 500ml*24BT,500ml*24
21-108-02,루카스 나인바닐라라떼 30T (84),30T*4
21-118,루카스나인돌체라떼 30T,30T*4
21-108-03,루카스나인그린티라떼 30T,30T*4
21-108-13,루카스나인 티라미수라떼30T,30t*4
21-108-04,루카스나인 스위트라떼 30T,30T*4
21-107-02,루카스나인 바닐라라떼10t,10*10
21-107-01,루카스 나인라떼10t,10*10
21-108-01,루카스 나인라떼 30T (30),30T*4
21-108-05,루카스 나인더블샷라떼 30T (30),30T*4
21-203,루카스 나인더블샷라떼 10T,10*10
36-99,롯데후르츠칵테일(3.05kg),3.05*6
60-21,롯데햄제품반품,0
36-93,롯데파인애플(슬)836g,836*12
36-98,롯데파인애플(3.05kg),3.05*6
27-50,롯데파렛트,
16-93,롯데콩식용유(18L),18L
60-05,롯데칠성반품,0
65-05,롯데에비앙330,330ml*24
38-08,롯데스위트콘(소)410g,410g*24
38-07,롯데스위트콘(대)2.85kg,2.95kg*6*(56)
16-24-01,롯데프리미엄 복합4호/3세트(BOX),런천200*12
16-31-02,롯데 프리미엄 런천미트2호/ 3세트 -(BOX)(42),200g*16*3set-(BOX)
16-06,롯데런천미트(小)200  (143),200g*24
81-23,롯데고향집식혜175,175ml*30
16-04-02,롯데고추장고기볶음80g,80g*48
27-75,롯데/제주감귤캔175(143),175ml*30
27-75-01,롯데/옥수수수염차175(143),175ml*30
27-77-01,롯데/오렌지175 (143),175ml*30
27-51-02,롯데/쌕쌕(포도)238ml,238ml*72
27-51,롯데/쌕쌕(오렌지)238ml,238ml*72
27-76,롯데/석류캔175(156),175ml*30
27-78,롯데/사과캔 175 (143),175ml*30
27-78-04,롯데/비타파워180,180ml*30
27-77,롯데/매실캔175 (143),175ml*30
27-751,롯데/망고캔175 (143),175ml*30
27-33,롯데/마운틴듀캔,250ml*30
27-42,롯데/델몬트제주감귤1.5 (44),1.5L*12
27-78-05,롯데/델몬트알로에180 (143),180*30
81-29,롯데 칸타타 아이스카라멜마끼아또 파우치230,230*(10*5)
81-30,롯데 칸타타 아이스헤이즐넛 파우치230,230*(10*5)
81-28,롯데 칸타타 아이스 스위트아메리카노제로 파우치230,230*(10*5)
81-27,롯데 칸타타 아이스블랙 파우치230,230*(10*5)
21-04-01,롯데 초가을우엉차500(50),
81-25,롯데 수미네잔치집식혜뚱340 (100),340ml*24
81-24,롯데 잔치집식혜240,240*30
16-01,로스팜 97%(마일드)340(91),340g*24
16-02,로스팜(마일드)200(143),200g*24
27-103-03,레쓰비카페타임모닝커피240/롯데칠성,240*30
27-103,레쓰비카페타임라떼240(110),240ml*30
27-103-05,레쓰비연유커피240,240*30
27-103-02,레쓰비아메리카노240,240*30
27-103-04,레쓰비솔트커피 240,240*30
27-07-05,레쓰비모카라떼175,175ml*30
27-07,레쓰비175(156)(143),175ml*30
27-07-01,레쓰비(업소용) 150(165),150ml*30
27-12-01,레쓰비 마일드 240,240ml*30
27-12,레쓰비 마일드 190 (144),190ml*30
27-106,레몬에이드캔240/롯데칠성,240*30
200-05,랩/아주,
60-30,라면제품반품,0
80-80-06,디스파서블 페이스  마스크,1곽*50입
38-11,동화지파크에너지드링크,250ml*30
38-09-05,동화 부채표쌍화원100ml(55),100*100
28-60-04,동화생생톤120ml(50병),120ml*(10병*5)
25-25,동화비타천플러스100ml,(100ml*10)*10
38-09,동화까스활액75ml(120입),75*120/50
38-09-02,동화까스활액75(40입),75*40
38-09-01,동화까스활액75(30입),75*30
38-09-03,동화까스활75ml (60입),75ml*60
38-10,동화/쌍화골드도라지,100ml*100
46-04,동표을지로골뱅이400g,400g*24
46-04-02,동표을지로골뱅이140g,140g*48
46-04-01,동표을지로골뱅이 230 (96),230g*24
46-01.,동표번데기탕130,130g*48
46-03,동표번데기280g(96),280g*24
46-01,동표번데기128g(단종),128g*48
60-50,동표반품,0
46-09,동표갯골뱅이400,400g*24
11-61,동원황도(슬라이스) (88),400g*24
11-60,동원황도(2절),400g*24
11-45,동원화끈한골뱅이400,400g*24
12-11,동원홍차순복숭아맛175 (144),175ml*30
50-23..,동원혼합46호-(set),(원소12+리챔소3)
12-20-01,동원헛개열매500,500ml*20
50-08,동원행호/3세트-(BOX),150g*30*3set
50-2911,동원행호-(set),1set
50-291,동원행호,30*3set
11-46,동원포도씨유참치250g,250g*36
11-52,동원포도씨유참치(중),150*48
11-47,동원포도씨유참치(소),100*60
11-32.,동원파인애플836g(24입)(48),836*24
11-31,동원파인애플234g,234*24
52-27,동원특15호/5세트-(BOX)/24,5set(참치150*6+카놀500*2)
12-34,동원쿨피스 파인애플뚱캔350,350ml*24
50-24-01,동원튜나런천67호 / 4세트-(BOX)/30,(살코기135g*12*런천200g4)*4
50-18,동원캔57호/4세트 (30),살코기150g*12+리챔200*4)*4
50-01,동원친호 / 6세트-(BOX)/40,참치150*12
50-03,동원친100호 / 6세트-(BOX),참치100*12
12-36,동원청매실병,180ml*48
11-01,동원참치살코기라이트(원소)100g,100g*60
11-02,동원참치살코기(원중)150g,150g*48
11-03,동원참치살코기라이트 200g,200g*36
11-04,동원참치마일드200g (104),200g*36
11-40-02,동원참치기획쿡담-3입(참치150*3)*12,(150*3)*12
11-40-08,동원참치기획쿡담3입(살코기135*3)*12,(살코기135*3)*12
81-21,동원참치기획DHA150(36입),(150*36)
11-40-03,동원참치기획(원중3+매운고추참치150 1),(3+1)*12
11-40-04,동원참치기획(원중2+DHA150 1+마일드150 1),4*12
11-40,동원참치기획(살코기100g*4+고추100g*4)*10 (80),(살코기100g*4+고추100g*4)*10
11-40-07,동원참치기획(뉴쿡담)-8입/(살코기150*6+DHA150*2)*6 (96),(살코기150*6)+(DHA150*2)*6
11-40-013,동원참치기획(LA 100*2+매운고추100*2)*20,(LA100*2+매운고추100*2)*20
11-40-05,동원참치기획(DHA100*2+매운고추100*2)*20,(DHA100*2+매운고추100*2)*20
11-05-10,동원참치기획 살코기(150*3)*12,(150g*3)*12
11-40-112,동원참치기획 고추150g*12캔(360),(고추참치 150g*12캔)
11-40-01,동원참치기획 (참치150*2+고추150*2),4*12
11-40-003,동원참치기획 살코기 150*12(360),(살코기 150*12)
11-40-06,동원참치기획 (뉴쿡담)-4입/(150*1+100*3)*12,(살150*1)+(살100*3)*12
50-39,동원참치10호/4세트-(BOX),150참치12*런천소4*4set
11-21-02,동원참치1.88(덕용) (80),1.88kg*6
11-61-02,동원지중해황도410g(176),410*12
11-61-05,동원지중해황도(슬)410g (176),(410g*12)
11-98,동원장려금,
60-03,동원음료반품,0
50-07,동원유호/8세트-(BOX)/42,150*9*8set
11-102,동원원(소)4+마일드(소)2,6*10
12-25,동원우롱차175*30(216),175ml*30
11-42,동원올리브참치(중),150*48
11-41,동원올리브참치(소),100*60
11-43,동원올리브참치(빅)250g,250g*36
50-15,동원올리브유2호,
50-20-01,동원올리브김식탁24P/3세트-(BOX) (24),8*3
50-16,동원올리브4호,올리브(선물용)
12-37-02,동원옥수수수염차350(24입)/91,350ml*24
12-12,동원옥수수수염175(144),175ml*30
10-01-03,동원 양반오미자500,500ml*24
60-02,동원에프앤비(참치)반품,0
11-08,동원야채참치150g,150*48
11-07,동원야채참치100g,100g*60
12-52,동원알로에1.5,1.5L*12
12-31,동원아침포도병,180ml*48
12-56,동원아침토마토1.5/단종17.2,1.5L*12
12-33,동원아침당근,180ml*48
12-29,동원식혜 238 (24入)(140),238ml*24
12-15,동원식혜 (상용3호) (50),238ml*72
12-15.,동원식혜 (단종),238ml*30
11*,동원식용유18리터 (60),18L
16-28-03,동원스페셜11호/4세트(참150*6.런200*3.요500*2),참150*3+런천200*3+요리500*2
11-13,동원스위트콘미국340(96),340g*24
11-12-02,"동원스위트콘덕용大(태국) 2,950g (56)","2,950g*6"
11-12,동원스위트콘大(미국) 2.1k,2.126*6
11-12-01,동원스위트콘340(프랑스)/144,340*12
11-70,동원순닭가슴살135g,135g*36
11-87,동원쇠고기육포(40g),40g*30
50-05,동원선호/4세트-(BOX)/32,참치150 *18/4set
12-04-02,동원샘물 아쿠아포레330(126),330ml*20
12-04-01,동원샘물 500 (112),500ml*20
12-04-03,동원샘물 300(140),300*20
12-04,동원샘물 2L(96),2L*6 (96)
12-51,동원상쾌한종합병(알.토.오.청매실)180ml,180*48 (56)
12-05,동원상쾌한아침홍삼병180ml(56),180ml*48 (56)
12-07,동원상쾌한아침토마토병180ml (56),180ml*48 (56)
12-06,동원상쾌한아침오렌지병180ml (56),180*48 (56)
12-08,동원상쾌한아침알로에병180ml(56),180ml*48
12-19,동원상쾌한아침꿀물병180ml(56),180ml*48
11-86,동원빵가루1k,1k*8
11-51,동원불고기(中),150-48
11-49-02,동원볶음짜장참치(중)150g,150g*48
11-49,동원볶음짜장참치(소)100g,100g*60
34-20-01,동원복숭아녹차 340 (104),340ml*20
12-01-04,동원보성홍차아이스티제로 복숭아 500ml (54),500ml*24
12-01-07,동원보성말차라떼500,500ml*24
12-01-02,동원보성말차500,500ml*24
12-01-06,동원보성녹차500,500ml*20
12-01-01,동원보성녹차 350ml/91,350ml*24
12-14,동원보성녹차 175 (144),175ml*30
12-01-03,동원보성꽃차,500ml*24
11-107,동원번데기130g(96),130g*48
11-60.,동원백도,400g*24
12-24,동원밥알을걸러맑은정식혜 230,230ml*30
12-39,동원미네마인스파클링워터500ml,500ml*20
12-39-01,동원미네마인스파클링 500ml 레몬맛,500ml*20
12-39-02,동원미네마인스파클링 500ml 라임맛,500ml*20
11-11-06,동원매운김치찌게참치(중)150g,150g*48
11-11-04,동원매운김치찌게참치 (소)100g,100*60
11-108,동원마일드150g*36,150g*36
11-06.,동원마일드 150g,150g * 48
12-21-02,동원리챔기획340(오리지날)(98),340g*(3*8)
11-44-02,동원리챔기획 200g,200g*(3*8)
50-32,동원리챔G9호(리챔6호)/5세트(BOX)(32),(리챔200*9)*5
50-31,동원리챔4호/4세트(BOX),340*9*4set
12-21,동원리챔340(91),340g*24
50-40,동원리챔2호/ 5세트(BOX)/32,(리챔200*12)*5
11-44,동원리챔(소)200,200g*24
34-20,동원레몬녹차 340 (104),340ml*20
11-100,동원런천미트 340 (대),340g*24
11-63,동원런천(소),200g*24
11-03..,동원라이트(원중),150g*3*12=36
50-21-01,동원들기름김식탁24P/3세트-(BOX)/24,8*3
11-66,동원 양반들기름12p,12P*10
12-17,동원둥굴레차175*30,175ml*30
50-02,동원단호 / 6세트-(BOX)/30,참치150*15
50-04,동원단100호/6세트-(BOX),참치100*15
12-02,동원보성녹차1.5(52),1.5L*12
12-13,동원꿀물캔175 (144),175ml*30
11-39-02,동원꽁치기획 400g,(2*12)set
11-39,동원꽁치400 (88),400g*24
11-68,동원꽁치1.88(덕용),1.88k*6
11-58,동원깐포도,400g*24
11-10,동원김치찌게참치(중)150g,150g*48
11-09,동원김치찌게참치(소)100g,100g*60
11-11-02,동원김치찌게참치(빅) 250g,250g*36
11-11,동원김치찌게참치 200g,200g*36
50-41,동원귀호/4세트-(BOX),150g*20*4set
50-41-01,동원귀호/3세트-(BOX),(살코기150*20)*3세트
11-16-02,동원골뱅이(中) 230(96),230g*24
11-16,동원골뱅이(小)140g,140g*48
11-17,동원골뱅이(대)400g(88),400g*24
11-13-02,동원저스트스위트콘340/미국 (96),340g*24
11-05-00,동원참치기획(살코기+고추) 90g,(살코기90g4+고추90g2)*10
11-05-08,동원고추참치기획 100g,(100g*3)*20(총60캔)
11-05-06,동원고추참치36입,150*36
11-05-02,동원고추참치150g,150g*48
11-05,동원고추참치100g,100g*60
11-05-04,동원고추참치(빅) 250g,250g*36
11-38,동원고등어 400(88),400g*24
11-20,동원DHA참치(중)150g,150g*48
11-19,동원참치DHA100,100g*60
11-21,동원DHA참치(빅) 250g,250g*36
50-25.,동원20호*6-(BOX),(라이트150*8+고추150*4)*5
50-43,동원11호(원중8+원소4)*5set,(원중8+원소4)5set-(BOX)
12-11-02,동원 쿨피스파인애플제로230,230ml*30
12-18,동원 쿨피스톡제로 복숭아펫340(77),340ml*24
12-11-01,동원 쿨피스복숭아제로230(120),230ml*30
12-09,동원/오렌지캔175*30,175ml*30
11-56,동원/양반해물죽,238g*24
11-26,동원/양반참치죽,285g*24
11-23,동원/양반전통잣죽(72),286g*24
11-22-01,동원/양반전복죽(파우치),420g*20
11-22,동원/양반전복죽 (72),285g*24
11-27,동원/양반야채죽 (72),285g*24
11-28-04,동원/양반쇠고기죽3*전복죽1기획(32),(285g*4)*6
11-28,동원/양반쇠고기죽 (72),285g*24
11-55,동원/양반삼계죽,285g*24
11-28-03,동원/양반밤단팥죽420g(파우치),420g*20
11-28-02,동원/양반밤단팥죽 (72),285g*24
11-69,동원/양반돌김 14호,14호*24
11-24,동원/양반단호박죽(72),285g*24
11-28-01,동원/쇠고기죽 420g(파우치),420g*20
11-24-01,동원/단호박죽420g(파우치),420g*20
11-30,동원 후르츠칵테일 (12입) 88,836g*12
11-32,동원 파인애플(12입)88,836g*12
12-18-03,동원 쿨피스 파인애플뚱캔350(126),350ml*12
12-18-02,동원 쿨피스 복숭아뚱캔 350(126),350ml*12
16-51-03,동원 친친오리지널 치즈 소시지80g,80g*10
11-79,동원 양반김치캔(썰은김치)160G,160*48
06-14,동원 순닭가슴살 기획 135g,(135g*3)*12
11-05-09,동원 뽀로로키즈참치 100g,100g*60
22-04-03,동원 배식혜500,500ml*24
22-04-02,동원 배식혜1.5,1.5L*12
22-02-05,동원 배수정과500,500ml*24
22-02-04,동원 배수정과1.5,1.5L*12
11-06-02,동원 매운고추참치150g,150g*48
11-06,동원 매운고추참치100g,100g*60
28-11,동아파렛트,
28-31,동아제약 박카스 F 120ml*50병(80),120ml*50
60-16,동아반품,0
24-52,동서커피믹스마일드(자판기용) 900(42),900g*12
24-02,동서제티초코 175 (168),175ml*30
24-702-01,동서스타벅스카라멜마끼아또(병) 281ml(112),(281ml*16)
24-701,동서스타벅스커피병281ml(112),(281ml*16)
24-702,동서스타벅스모카병281ml(112),(281ml*16)
60-08,동서반품,0
24-01-01,동서맥스웰커피캔200 (단종),200ml*30
